,comment,customer_name,discount_percent,EMI,offer_details,price,product_name,product_searched,rating,review_age
62,Perfect product!,sai charan Kolluri,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Sep, 2017"
63,Awesome phone,Nitish Dhawan,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
64,Terrific,Jeetendra Nath Panda,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2018"
65,Highly recommended mobile!!,shafi ullah,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2017"
66,Must buy!,Nirajkumar Nagrare,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Sep, 2017"
67,good purchase,ANKUR VATSAL,16% off,NO EMI Plans,No offer Available,"₹12,499","SAMSUNG Galaxy F22 (Denim Blue, 64 GB)  (4 GB RAM)",samsung,4,26 days ago
68,Could be way better,ARUN SHUKLA,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,2,"Nov, 2019"
69,Value-for-money,Sanjay Sharma,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"May, 2017"
70,Wonderful,Pallab Saha,16% off,NO EMI Plans,No offer Available,"₹12,499","SAMSUNG Galaxy F22 (Denim Blue, 64 GB)  (4 GB RAM)",samsung,4,25 days ago
71,Pretty good,Preeti Kureel,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Nov, 2018"
72,Worth every penny.,Abhinav Srivastava,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
73,Classy product,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,5 months ago
74,Super!,Gunit Singh Keer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
