,comment,customer_name,discount_percent,EMI,offer_details,price,product_name,product_searched,rating,review_age
177,Flipkart is very good way to buy any products,Jasbir Kumar Gandass,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
178,Iphone7 black.,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Oct, 2016"
179,Absolute rubbish!,Rahul M,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,1,5 months ago
180,Awesome phone - Awesome Flipkart,Santosh Subba,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"May, 2017"
181,Awesome,Kartavya Partap Singh,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Dec, 2017"
182,Superb and stylish!,Ullas,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
183,Best phone even in 2018.,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Feb, 2018"
184,Delightful,Parvej Akhtar,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,4 months ago
185,Amazing Little phone,Vikas Mehta,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Feb, 2017"
186,Best in the market!,kaustubh chitnis,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Apr, 2017"
187,Classy product,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,3 months ago
188,Confused | Heating | Few frame drops on normal usage,vinay kumar,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,3,5 months ago
